,시도,시구군,장소유형,상호명,주소(도로명주소),노출일시,소독여부
24,부산시,부산진구,사무실,전포동 선거사무실,"부산진구 중앙대로 808, 금정빌딩 802호",2020.12.30.(수) 18:30 ~ 20:302021. 1. 5.(화) 14:00 ~ 15:00,소독완료
25,부산,중구,택시,택시,영도 아이존빌 인근~영주동 부산터널 밑,"2021.1.7.(목) 20:42~21:00경8,000원 현금 수납한 택시기사님",-
26,부산,-,택시,택시,부전시장정류장~부산진구보건소,"2021.1.8.(금) 15:43~15:503,500원 현금 수납한 택시기사님",-
27,부산,-,버스,190번 버스,남부민동 정류장~해양대학교 정류장,2021.1.3.(일) 15:06~16:302021.1.3.(일) 18:31~19:502021.1.3.(일) 21:52~22:542021.1.4.(월) 14:10~15:382021.1.4.(월) 17:40~19:112021.1.4.(월) 21:04~22:242021.1.5.(화) 16:10~17:412021.1.5.(화) 19:42~21:072021.1.5.(화) 22:54~23:512021.1.6.(수) 14:48~16:162021.1.6.(수) 18:18~19:482021.1.6.(수) 21:36~22:502021.1.7.(목) 8:57~10:27,소독완료
28,부산,-,버스,190번 버스,해양대학교 정류장~남부민동 정류장,2021.1.3.(일) 13:46~15:062021.1.3.(일) 17:11~18:312021.1.3.(일) 20:32~21:522021.1.4.(월) 12:50~14:102021.1.4.(월) 16:20~17:402021.1.4.(월) 19:44~21:042021.1.5.(화) 14:50~16:102021.1.5.(화) 18:22~19:422021.1.5.(화) 21:34~22:542021.1.6.(수) 13:28~14:482021.1.6.(수) 16:58~18:182021.1.6.(수) 20:16~21:362021.1.7.(목) 7:37~8:57,소독완료
29,부산,-,택시,택시,해동병원~부산대학교병원 하차,2021.1.7.(목) 19:20~19:30현금수납하신 택시기사님,-
30,부산,-,택시,택시,동삼1동 행정복지센터 주변~동삼주택 정류장,"2021.1.7.(목) 18:35~18:403,300원 현금수납하신 택시기사님",-
31,부산,-,택시,택시,동삼1동 행정복지센터 주변-영도구청 정류장 하차,"2021.1.4.(월) 8:20~8:263,300원 현금수납하신 택시기사님",-
32,부산,강서구,엘리베이터,SM빌딩,"강서구 명지국제8로 265, 명지동",2021.1.2.(토)~2021.1.7.(목)(강서구보건소로 연락바람),소독완료
33,부산,금정구,미용실,신혜손길,금정구 학산로23 1층(남산동),2021.1.6.(수) 11:00~22:00(금정구보건소로 연락바람),소독완료
34,부산,사상구,시외버스,신흥여객(경남70아3224),부산서부시외버스터미널(사상구 사상로201)->창원시외버스터미널(경상남도 창원시 의창구 창원대로 371) 창원남산시외버스터미널 경유,2021.1.4.(월) 11:12~11:57경,소독완료
35,부산,동래구,피씨방,쓰리팝피씨방,동래구 사직북로4,2021.1.3.(일) 14:40~20:06,소독완료
36,부산,부산진구,상가 쉼터,쥬디스태화 건물 지하1층 쉼터,"부산진구 중앙대로 694, 부전동",2021.1.3.(일) 16:42~17:19,소독완료
37,부산,남구,음식점,맘스터치 문현금융단지점,"남구 문현금융로22, 2층(문현동)",2021.1.2.(토) ~ 1.3.(일) 10:30~21:002021.1.4.(월) ~ 1.8.(금) 10:00~15:002021.1.6.(수) 17:30~23:00,소독완료
38,부산,,시외버스,,"부산발 대구행(남지,창녕 경유)시외버스 노선",2021.01.02(토) 17:30-19:40,소독완료
39,부산,,택시,,파랑새노인건강센터-> 중구 중앙대로30번길 방면,2021.01.01(금) 17:30(추정),
40,부산,-,시외버스,신흥여객(경남70아3276),부산서부시외버스터미널(사상구 사상로201)~마산시외버스터미널(창원시 마산회원구 3⸱15대로 756),2021.1.4.(월) 16:50~17:30경,소독완료
41,부산,연제구,잡화점,다이소 연산토곡2호점,"연제구 과정로157, 연산동",2021.1.4.(월) 16:49~17:03,소독완료
42,부산,-,택시,택시,37바5064 택시,2021.1.3.(일) ~ 1.4.(월)택시이용객 보건소 선별진료소 방문 바람,-
43,부산,-,시외버스,천일여객(경남70아7553),부산서부시외버스터미널(사상구 사상로201)~창원시외버스터미널(경남 창원시 의창구 창원대로 371),2021.1.3.(일) 15:36~16:21경,소독완료
44,부산,수영구,목욕탕,화신탕(여탕),"수영구 수미로 51, 망미동",2021.1.3.(일) 17:24~18:55,소독완료
45,부산,동구,PC방,에이아이 PC방,"동구 초량중로 95, 2층 (초량동) 흡연실 이용자 및 42~110번 PC사용자",2021.1.2.(토) 11:44~17:582021.1.3.(일) 12:28~20:242021.1.4.(월) 12:08~17:262021.1.5.(화) 11:41~13:31,소독완료
46,부산,연제구,음식점,오갈미순두부전문,"연제구 거제천로 154번길 10, 연산동",2021.1.2.(토) 13:0014:00,소독완료
47,부산,부산진구,일반게임제공업,고고성인게임장,"부산진구 새싹로28번길 27, 2층(부전동)",2021.1.2.(토) 15:30~16:302021.1.3.(일) 14:40~15:20,소독완료
48,부산,남구,음식점,김선장 횟집,남구 못골번영로7(대연동),2021.1.1.(금) 16:14~17:00,소독완료
49,부산,기장군,정육점,남광식육점,"기장군 정관읍 정관덕산길 30, 방곡리",2021.1.3.(일) 18:03~18:18,소독완료
50,부산,사하구,버스,1000번 버스,서면역⸱서면지하상가~신평,2021.1.4.(월) 18:31~19:10,소독완료
51,부산,-,택시,택시,놀이마루~부산진구청후문 정류장,"2021.1.3.(일) 16:40~16:50현금 3,700원 수납하신 기사님",-
52,부산,-,택시,택시,부전시장입구 버스정류장~어린이놀이터 버스정류장,2021.1.3.(일) 16:00~16:10택시기사님 연락바람,-
